RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
1,"St. Albert, Alta.",64377,0.041,4.3,128270.17,64865.86,561899,373426,2.91,2.57,3286,0.0256,0.05,9474,0.1754,0.0195,3.01,0.56,4.95,351.8,113.42,73.36,176.9,84.46,28.49,3.53,0.09,-0.2528,5648.98,48.9,27.72,1.1,5.28,2.61,1.84
2,"Calgary, Alta.",1306471,0.1,5.9,119771.69,56643.69,620700,435825,3.64,2.36,2782,0.0232,0.05,9474,0.2133,0.0211,4.91,1.1,15.04,326.4,111.77,67.89,170.8,87.21,21.7,4.43,0.16,-0.2423,4442.43,59.53,61.66,1.11,3.94,2.51,2.13
3,"Strathcona County, Alta.",98232,0.092,4.2,137509.4,69141.51,716333,408331,2.97,2.5,3398,0.0247,0.05,9474,0.1895,0.0143,2.67,0.51,3.22,342.65,105.49,70.69,161.9,85.7,29.34,3.54,0.04,0.1768,4001.17,44.52,19.52,0.78,4.55,2.61,1.73
4,"Ottawa, Ont.",953589,0.099,7,103186.09,50922.73,457513,398845,3.87,2.23,2283,0.0221,0.13,8694,0.2226,0.0215,7.25,1.97,21.21,755.45,160.65,118.34,215.6,116.53,16.84,6.64,17.48,-0.1524,4589.7,57.64,59.21,0.91,3.6,2.45,2.86
5,"Burlington, Ont",187497,0.068,5.8,110113.81,52926.57,623548,496412,4.51,2.67,2855,0.0259,0.13,8694,0.2035,0.0266,3.4,0.69,7.59,763.27,135.77,113.91,239,125.32,2.66,9.07,40.8,-0.2475,2611.04,28.59,23.59,1.16,3.32,2.54,1.91
6,"Boucherville, Que.",41928,0.046,3.7,122131.67,58004.29,581748,352698,2.89,2.83,3333,0.0273,0.1498,11302,0.2695,0.0453,2.66,1.51,13.63,844.01,168.19,124.98,228.2,111.82,8.42,7.46,32.93,-0.2373,5056.13,70.83,65.18,0.6,4.22,2.34,2.96
7,"Oakville, Ont.",196722,0.098,7,145694.87,68852.08,948281,692902,4.76,2.7,3756,0.0258,0.13,8694,0.2399,0.0556,2.99,0.53,14.52,725.63,117.55,102.43,221.7,107.18,2.66,8.05,18.25,-0.2475,2611.04,28.59,23.59,1.13,3.08,2.07,2.54
8,"Edmonton, Alta",868392,0.095,6.1,91807.29,42531.87,390402,375308,4.09,2.13,1966,0.0214,0.05,9474,0.1861,0.0158,5.1,1.14,11.72,347.76,122.93,77.31,185.1,88.38,24.62,4.18,1.45,-0.2631,7460.89,91.8,115.38,1.12,4.77,2.61,1.95
9,"Regina, Sask.",221999,0.073,4.8,91328.02,43014.39,392064,372335,4.08,2.13,1965,0.0215,0.1,10195,0.1536,0.0103,5.38,1.25,4,321.11,114.13,74.7,152.9,107.46,45.04,2.73,7.72,-0.2428,10393.1,120.17,116.45,1.52,4.56,2.36,2.16
10,"Qu‚bec, Que.",535353,0.063,4.7,70627.27,31528.43,233850,249015,3.53,2.33,1609,0.0228,0.1498,11302,0.2562,0.0172,8.07,1.53,12.68,899.3,174.93,118.16,194.5,94.07,31.14,4.22,3.53,-0.2592,3987.91,50.82,55.69,0.86,4.78,3.35,2.31
